1818058	安徽省
1808721	合肥市
1791227	芜湖市
1816439	蚌埠市
1807680	淮南市
1801618	马鞍山市
1807699	淮北市
1792619	铜陵市
1817991	安庆市
1806775	黄山市
1814761	滁州市
1810843	阜阳市
1793752	宿州市
1802199	六安市
11287254	亳州市
6640435	池州市
1788080	宣城市
1784764	浙江省
1808925	杭州市
1799395	宁波市
1791385	温州市
1805952	嘉兴市
1806534	湖州市
1795854	绍兴市
1805525	金华市
1797262	衢州市
1784107	舟山市
1793504	台州市
1803243	丽水市
1806222	江西省
1800160	南昌市
1805679	景德镇市
1798652	萍乡市
1805178	九江市
9072903	新余市
1786576	鹰潭市
1810636	赣州市
1806430	吉安市
1786745	宜春市
1810818	抚州市
1796129	上饶市
1806260	江苏省
1799960	南京市
1790902	无锡市
1787823	徐州市
1815454	常州市
1881771	苏州市
1799719	南通市
1803847	连云港市
1807649	淮安市
1787743	盐城市
1787226	扬州市
1784640	镇江市
1793502	泰州市
1793770	宿迁市
2036500	吉林省
2038176	长春市
2036499	吉林市
2034711	四平市
2036107	辽源市
2034413	通化市
2036646	白山市
6587798	松原市
2038567	白城市
2033525	延边朝鲜族自治州
1280239	青海省
1788850	西宁市
1809101	海东市
1809111	海北藏族自治州
1807329	黄南藏族自治州
1809051	海南藏族自治州
1281178	果洛藏族自治州
1279540	玉树藏族自治州
1281075	海西蒙古族藏族自治州
1811017	福建省
1810815	福州市
1790638	厦门市
1798445	莆田市
1796662	三明市
1797350	泉州市
1785017	漳州市
1799838	南平市
1802274	龙岩市
1799392	宁德市
2036965	黑龙江省
2037012	哈尔滨市
2035264	齐齐哈尔市
2036380	鸡西市
2036985	鹤岗市
2034785	双鸭山市
2037847	大庆市
2033412	伊春市
2036580	佳木斯市
2035260	七台河市
2035713	牡丹江市
2036971	黑河市
2034654	绥化市
2037961	大兴安岭地区
1808520	河南省
12324210	济源市
1784657	郑州市
1804878	开封市
1801785	洛阳市
1798826	平顶山市
1817942	安阳市
1808765	鹤壁市
1788571	新乡市
1805986	焦作市
1941243	濮阳市
1788045	许昌市
1801930	漯河市
1796667	三门峡市
1799614	南阳市
1796132	商丘市
1788527	信阳市
1784128	周口市
1783872	驻马店市
1808773	河北省
1795266	石家庄市
1793343	唐山市
1797593	秦皇岛市
1808961	邯郸市
1788925	邢台市
1816969	保定市
2033194	张家口市
2038085	承德市
1816078	沧州市
1804539	廊坊市
1808391	衡水市
1806691	湖南省
1815551	长沙市
1783761	株洲市
1790484	湘潭市
1808369	衡阳市
1795852	邵阳市
1785881	岳阳市
1815761	常德市
1813170	张家界市
1786419	益阳市
1815056	郴州市
11287265	永州市
1807688	怀化市
1802234	娄底市
1790468	湘西土家族苗族自治州
1806949	湖北省
12324193	天门市
12324199	潜江市
12324200	仙桃市
1795614	神农架林区
1791243	武汉市
1807225	黄石市
1794892	十堰市
1786761	宜昌市
1790585	襄阳市
1811618	鄂州市
1805610	荆门市
1790253	孝感市
1805539	荆州市
1807500	黄冈市
1790395	咸宁市
1793878	随州市
1811624	恩施土家族苗族自治州
1529047	新疆维吾尔自治区
12324192	石河子市
1529101	乌鲁木齐市
1529400	克拉玛依市
1529113	吐鲁番市
1529483	哈密市
1529568	昌吉回族自治州
1529581	博尔塔拉蒙古自治州
